"symbol","name","stockPrice","peRatio","marketCapitalization","divYield","revenueGrowth3yr","incomeGrowth3yr"
"TRUL.DB.U:CNX","Trulieve Cannabis",93,,17296838616,,47.23,
"TRUL.NT.U:CNX","Trulieve Cannabis Corp. 6OCT2026 Notes Note",70.61,,13132578222.32,,47.23,
"AYR.NT.U:CNX","Ayr Wellness Inc. 10DEC2024 Notes Note",70,,5353626600,,55.94,
"CURA:CNX","Curaleaf Holdings Inc",6,,4351237722,,65.21,
"GTII:CNX","Green Thumb Industries Inc (Sub Voting)",14.15,289.03,3378470031.95,,40.78,
"CACR.A:CNX","KWG Resources Inc (Multiple Voting)",2.84,,3357131061.68,,,
"VRNO:CNX","Verano Holdings Corp - Class A (Sub Voting)",6.22,,2135745937.08,,,
"TRUL:CNX","Trulieve Cannabis Corp (Sub Voting)",8.45,,1571594476.4,,47.23,
"CL:CNX","Cresco Labs Inc. (Sub Voting)",3.34,,1124595668.6,,49.88,
"FONE.DB.C:CNX","Flower One Holdings Inc. Series 15NOV2019 Debentures Convertible Debenture",1.35,,638683528.5,,221.11,
"ASE:CNX","Asante Gold Corp",1.56,,576314714.04,,,
"IWIN:CNX","Irwin Naturals Inc (Sub Voting)",1.1,49.06,352000000,,63.24,
"PLTH:CNX","Planet 13 Holdings Inc",1.51,,334515491.38,,18.52,
"LIFT:CNX","Li-FT Power Ltd",8,,313925856,,,
"AYR.A:CNX","Ayr Wellness Inc. (Sub, Restricted, Ltd Voting)",3.64,,278388583.2,,55.94,
"IBAT:CNX","International Battery Metals Ltd",1.18,,238661380.26,,,
"MRMD:CNX","MariMed Inc",0.6,29.01,222968854.8,,61.33,
"EPIC:CNX","1CM Inc",1.92,,219654915.84,,750.22,
"SUNN:CNX","SolarBank Corporation",7.75,,205762500,,,
"JUSH:CNX","Jushi Holdings Inc. - Class B (Sub Voting)",1.01,,198599704.71,,188.11,
"IAN:CNX","iAnthus Capital Holdings Inc",0.03,,193795316.37,,0.3,
"FFNT:CNX","4Front Ventures Corp (Sub Voting)",0.31,,201456515.37,,50.79,
"AAWH.U:CNX","Ascend Wellness Holdings Inc. - Class A",0.99,,203695828.38,,112.52,
"URB.A:CNX","Urbana Corp. - Class A",3.97,6.79,164338547,2.770780856423174,-2.25,
"URB:CNX","Urbana Corp.",3.71,6.79,153575821,2.964959568733154,-2.25,
"CHAL:CNX","Chalice Brands Ltd",0.225,,146324314.13,,17.44,
"RICH:CNX","Raffles Financial Group Limited",2.85,,142799250,,,
"SASK:CNX","ATHA Energy Corp",1,,126106388,,,
"DTC:CNX","Defence Therapeutics Inc",2.66,,116190592.84,,,
